EXPERIMENT, BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
4, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.003916,0.0039329529
4, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.004009,0.0040240288
4, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.004112,0.0041358471
4, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.003935,0.0039579868
4, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.003932,0.0039479733
4, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.004191,0.0042099953
4, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.004196,0.0042150021
5, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.003634,0.0036530495
5, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.003879,0.0038950443
5, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.003688,0.0037131310
5, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.004002,0.0040330887
5, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.003941,0.0039629936
5, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.004083,0.0040988922
5, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.004205,0.0042271614
5, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.004222,0.0042378902
6, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.003499,0.0035181046
6, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.003599,0.0036170483
6, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.003911,0.0039260387
6, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.003695,0.0037140846
6, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.003928,0.0039482117
6, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.003619,0.0036351681
6, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.004187,0.0042037964
6, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.004190,0.0042059422
7, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.003649,0.0036749840
7, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.003744,0.0037641525
7, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.003949,0.0039691925
7, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.003887,0.0039031506
7, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.004062,0.0040850639
7, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.003911,0.0039310455
7, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.004171,0.0041859150
7, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.004143,0.0041589737
8, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.003555,0.0035769939
8, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.003653,0.0036740303
8, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.003912,0.0039341450
8, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.003947,0.0039770603
8, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.003873,0.0038890839
8, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.003889,0.0039088726
8, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.004105,0.0041201115
8, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.004113,0.0041291714
9, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.004085,0.0041060448
9, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.004223,0.0042390823
9, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.004341,0.0043680668
9, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.004444,0.0044682026
9, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.003928,0.0039498806
9, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.003940,0.0039570332
9, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.004174,0.0041899681
9, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.004194,0.0042109489
10, ,8, 1000, 100,, RS, lab004-075, 5, 5, 1, 6, 0.003595,0.0036139488
10, ,8, 1000, 100,, RS, lab004-075, 7, 7, 3, 10, 0.003852,0.0038700104
10, ,8, 1000, 100,, RS, lab004-075, 6, 6, 2, 8, 0.003931,0.0039470196
10, ,8, 1000, 100,, RS, lab004-075, 4, 4, 0, 4, 0.004067,0.0040848255
10, ,8, 1000,100,, SR,lab004-074, 1, 1, 5, 6, 0.003676,0.0036950111
10, ,8, 1000,100,, SR,lab004-074, 3, 3, 7, 10, 0.003926,0.0039429665
10, ,8, 1000,100,, SR,lab004-074, 2, 2, 6, 8, 0.004154,0.0041689873
10, ,8, 1000,100,, SR,lab004-074, 0, 0, 4, 4, 0.004158,0.0041739941
1, ,8, 1, 100,, RS, lab004-075, 6, 6, 2, 8, 0.000644,0.0006639957
1, ,8, 1,100,, SR,lab004-074, 2, 2, 6, 8, 0.000750,0.0007691383
1, ,8, 1, 100,, RS, lab004-075, 7, 7, 3, 10, 0.000646,0.0006639957
1, ,8, 1,100,, SR,lab004-074, 3, 3, 7, 10, 0.000773,0.0007970333
1, ,8, 1,100,, SR,lab004-074, 1, 1, 5, 6, 0.000885,0.0009100437
