EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
9, 1, 8, 1,,,, lab004-075, 6,,,, 0.0005519390,,
9, 1, 8, 1,,,, lab004-074, 2,,,, 0.0004570484,,
10, 1, 8, 1,,,, lab004-075, 7,,,, 0.0009679794,,
10, 1, 8, 1,,,, lab004-074, 2,,,, 0.0005249977,,
10, 1, 8, 1,,,, lab004-075, 4,,,, 0.0009548664,,
10, 1, 8, 1,,,, lab004-074, 3,,,, 0.0005078316,,
10, 1, 8, 1,,,, lab004-075, 5,,,, 0.0009679794,,
10, 1, 8, 1,,,, lab004-074, 1,,,, 0.0005140305,,
10, 1, 8, 1,,,, lab004-075, 6,,,, 0.0009469986,,
10, 1, 8, 1,,,, lab004-074, 0,,,, 0.0005059242,,
EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0468139648,,
1, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0533270836,,
1, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0416798592,,
1, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0476560593,,
2, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0064959526,,
2, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0207459927,,
2, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0353250504,,
2, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0292828083,,
3, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0126791000,,
3, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0135629177,,
3, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0142149925,,
3, 0, 4, 10000,,,S, lab004-074, 0,,,, 0.0050919056,,
4, 0, 4, 10000,,,R, lab004-074, 1,,,, 0.0125899315,,
4, 0, 4, 10000,,,R, lab004-074, 2,,,, 0.0134608746,,
4, 0, 4, 10000,,,R, lab004-074, 3,,,, 0.0139510632,,
