EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
2, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0000209808,
3, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000269413,
3, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0000569820,
3, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0000238419,
3, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0000190735,
4, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0000569820,
4, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000247955,
4, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0000579357,
4, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0000200272,
5, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0000450611,
5, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0000391006,
5, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000269413,
5, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0000250340,
6, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000259876,
6, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0003070831,
6, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0003330708,
6, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0002908707,
7, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0001780987,
7, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000429153,
7, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0001161098,
7, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0001170635,
8, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000259876,
8, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0000619888,
8, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0000970364,
8, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0001008511,
9, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0000400543,
9, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000259876,
9, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0000200272,
9, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0000178814,
10, 0, 4, 900,,,S, lab004-074, 0,,,, 0.0000247955,
10, 0, 4, 900,,,R, lab004-074, 2,,,, 0.0000410080,
10, 0, 4, 900,,,R, lab004-074, 3,,,, 0.0000250340,
10, 0, 4, 900,,,R, lab004-074, 1,,,, 0.0000178814,
1, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000259876,
1, 1, 4, 100,,,, lab004-074, 2,,,, 0.0002219677,
1, 1, 4, 100,,,, lab004-074, 3,,,, 0.0001089573,
1, 1, 4, 100,,,, lab004-074, 1,,,, 0.0002310276,
2, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000288486,
2, 1, 4, 100,,,, lab004-074, 1,,,, 0.0000371933,
2, 1, 4, 100,,,, lab004-074, 2,,,, 0.0000219345,
2, 1, 4, 100,,,, lab004-074, 3,,,, 0.0000219345,
3, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000309944,
3, 1, 4, 100,,,, lab004-074, 2,,,, 0.0000581741,
3, 1, 4, 100,,,, lab004-074, 3,,,, 0.0004777908,
3, 1, 4, 100,,,, lab004-074, 1,,,, 0.0000319481,
4, 1, 4, 100,,,, lab004-074, 2,,,, 0.0002620220,
4, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000281334,
4, 1, 4, 100,,,, lab004-074, 3,,,, 0.0002961159,
4, 1, 4, 100,,,, lab004-074, 1,,,, 0.0002088547,
5, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000290871,
5, 1, 4, 100,,,, lab004-074, 3,,,, 0.0000460148,
5, 1, 4, 100,,,, lab004-074, 1,,,, 0.0000350475,
5, 1, 4, 100,,,, lab004-074, 2,,,, 0.0000231266,
6, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000329018,
6, 1, 4, 100,,,, lab004-074, 2,,,, 0.0000259876,
6, 1, 4, 100,,,, lab004-074, 3,,,, 0.0002520084,
6, 1, 4, 100,,,, lab004-074, 1,,,, 0.0000329018,
7, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000290871,
7, 1, 4, 100,,,, lab004-074, 2,,,, 0.0000269413,
7, 1, 4, 100,,,, lab004-074, 1,,,, 0.0000319481,
7, 1, 4, 100,,,, lab004-074, 3,,,, 0.0004479885,
8, 1, 4, 100,,,, lab004-074, 2,,,, 0.0000300407,
8, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000278950,
8, 1, 4, 100,,,, lab004-074, 1,,,, 0.0000240803,
8, 1, 4, 100,,,, lab004-074, 3,,,, 0.0004298687,
9, 1, 4, 100,,,, lab004-074, 2,,,, 0.0002930164,
9, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000259876,
9, 1, 4, 100,,,, lab004-074, 3,,,, 0.0003371239,
9, 1, 4, 100,,,, lab004-074, 1,,,, 0.0003280640,
10, 1, 4, 100,,,, lab004-074, 0,,,, 0.0000278950,
10, 1, 4, 100,,,, lab004-074, 2,,,, 0.0003302097,
10, 1, 4, 100,,,, lab004-074, 3,,,, 0.0003218651,
10, 1, 4, 100,,,, lab004-074, 1,,,, 0.0003530979,
1, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000259876,
1, 1, 4, 10,,,, lab004-074, 2,,,, 0.0003421307,
1, 1, 4, 10,,,, lab004-074, 1,,,, 0.0003290176,
1, 1, 4, 10,,,, lab004-074, 3,,,, 0.0003240108,
2, 1, 4, 10,,,, lab004-074, 2,,,, 0.0003139973,
2, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000250340,
2, 1, 4, 10,,,, lab004-074, 1,,,, 0.0003039837,
2, 1, 4, 10,,,, lab004-074, 3,,,, 0.0003330708,
3, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000300407,
3, 1, 4, 10,,,, lab004-074, 1,,,, 0.0000448227,
3, 1, 4, 10,,,, lab004-074, 3,,,, 0.0000519753,
3, 1, 4, 10,,,, lab004-074, 2,,,, 0.0000238419,
4, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000250340,
4, 1, 4, 10,,,, lab004-074, 3,,,, 0.0001959801,
4, 1, 4, 10,,,, lab004-074, 1,,,, 0.0000329018,
4, 1, 4, 10,,,, lab004-074, 2,,,, 0.0000431538,
5, 1, 4, 10,,,, lab004-074, 2,,,, 0.0000379086,
5, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000250340,
5, 1, 4, 10,,,, lab004-074, 3,,,, 0.0002250671,
5, 1, 4, 10,,,, lab004-074, 1,,,, 0.0000309944,
6, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000269413,
6, 1, 4, 10,,,, lab004-074, 1,,,, 0.0000360012,
6, 1, 4, 10,,,, lab004-074, 3,,,, 0.0000200272,
6, 1, 4, 10,,,, lab004-074, 2,,,, 0.0000319481,
7, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000259876,
7, 1, 4, 10,,,, lab004-074, 1,,,, 0.0000381470,
7, 1, 4, 10,,,, lab004-074, 2,,,, 0.0000212193,
7, 1, 4, 10,,,, lab004-074, 3,,,, 0.0000188351,
8, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000259876,
8, 1, 4, 10,,,, lab004-074, 2,,,, 0.0000269413,
8, 1, 4, 10,,,, lab004-074, 3,,,, 0.0003900528,
8, 1, 4, 10,,,, lab004-074, 1,,,, 0.0000309944,
9, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000429153,
9, 1, 4, 10,,,, lab004-074, 2,,,, 0.0003361702,
9, 1, 4, 10,,,, lab004-074, 1,,,, 0.0003252029,
9, 1, 4, 10,,,, lab004-074, 3,,,, 0.0003211498,
10, 1, 4, 10,,,, lab004-074, 0,,,, 0.0000271797,
10, 1, 4, 10,,,, lab004-074, 2,,,, 0.0000269413,
10, 1, 4, 10,,,, lab004-074, 1,,,, 0.0000410080,
10, 1, 4, 10,,,, lab004-074, 3,,,, 0.0002360344,
1, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000419617,
1, 1, 4, 1,,,, lab004-074, 2,,,, 0.0003559589,
1, 1, 4, 1,,,, lab004-074, 3,,,, 0.0003318787,
1, 1, 4, 1,,,, lab004-074, 1,,,, 0.0003111362,
2, 1, 4, 1,,,, lab004-074, 2,,,, 0.0003108978,
2, 1, 4, 1,,,, lab004-074, 3,,,, 0.0002968311,
2, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000250340,
2, 1, 4, 1,,,, lab004-074, 1,,,, 0.0003519058,
3, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000238419,
3, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000278950,
3, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000300407,
3, 1, 4, 1,,,, lab004-074, 3,,,, 0.0004870892,
4, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000250340,
4, 1, 4, 1,,,, lab004-074, 3,,,, 0.0000739098,
4, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000331402,
4, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000209808,
5, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000247955,
5, 1, 4, 1,,,, lab004-074, 2,,,, 0.0001049042,
